Id,N1,N2,N3,N4,N5,N6,Date
152,1,9,14,18,25,28,9/7/2017
153,5,9,14,15,26,42,12/7/2017
154,2,13,19,24,25,33,14/07/2017
155,2,10,27,29,37,39,16/07/2017
156,4,7,13,20,35,44,19/07/2017
157,5,6,9,15,19,32,21/07/2017
158,7,9,13,21,28,39,23/07/2017
159,9,26,27,30,40,44,26/07/2017
160,1,4,9,26,35,39,28/07/2017
161,8,17,24,35,41,44,30/07/2017
162,7,10,17,26,28,43,2/8/2017
163,3,12,13,23,26,37,4/8/2017
164,2,9,10,11,21,43,6/8/2017
165,11,19,22,24,25,31,9/8/2017
166,1,12,19,35,36,41,11/8/2017
167,1,3,6,7,16,18,13/08/2017
168,6,11,15,19,22,41,16/08/2017
169,3,4,18,22,34,37,18/08/2017
170,5,15,18,21,37,45,20/08/2017
171,6,25,27,34,42,43,23/08/2017
172,2,7,12,27,40,44,25/08/2017
173,3,7,16,32,36,39,27/08/2017
174,5,8,11,28,35,41,30/08/2017
175,9,10,13,19,23,41,1/9/2017
176,5,6,26,28,35,43,3/9/2017
177,5,20,24,32,36,42,6/9/2017
178,2,15,17,32,41,44,8/9/2017
179,1,22,23,35,36,42,10/9/2017
180,3,8,19,35,38,40,13/09/2017
181,3,24,35,37,40,43,15/09/2017
182,6,11,15,16,37,40,17/09/2017
183,5,7,13,17,23,33,20/09/2017
184,5,16,21,31,37,41,22/09/2017
185,4,10,11,31,36,39,24/09/2017
186,10,19,33,34,35,45,27/09/2017
187,23,28,30,35,37,42,29/09/2017
188,8,23,27,36,37,43,1/10/2017
189,4,5,9,19,37,44,4/10/2017
190,4,6,18,20,30,45,6/10/2017
191,8,16,24,27,35,39,8/10/2017
192,4,11,14,15,19,26,11/10/2017
193,10,13,20,21,25,36,13/10/2017
194,2,9,14,21,35,40,15/10/2017
195,16,24,32,36,37,40,18/10/2017
196,2,18,25,33,36,42,20/10/2017
197,8,14,16,17,31,42,22/10/2017
198,12,17,23,25,34,38,25/10/2017
199,4,10,13,21,22,38,27/10/2017
200,1,5,28,31,44,45,29/10/2017
201,4,12,25,39,42,44,1/11/2017
202,7,17,20,22,29,44,3/11/2017
203,3,17,38,39,41,44,5/11/2017
204,1,18,23,24,40,41,8/11/2017
205,1,4,19,21,24,35,10/11/2017
206,22,26,37,40,42,44,12/11/2017
207,1,9,15,27,33,43,15/11/2017
208,11,13,18,19,31,45,17/11/2017
209,14,20,30,33,41,43,19/11/2017
210,5,6,9,23,27,35,22/11/2017
211,14,24,32,34,36,45,24/11/2017
212,4,12,17,19,23,34,26/11/2017
213,19,23,26,37,38,41,29/11/2017
214,10,19,30,35,39,45,1/12/2017
215,8,9,15,18,27,30,3/12/2017
216,3,7,29,31,34,43,6/12/2017
217,2,11,15,32,40,44,8/12/2017
218,27,36,39,43,44,45,10/12/2017
219,4,7,19,24,32,38,13/12/2017
220,13,14,17,24,28,43,15/12/2017
221,4,7,16,27,40,41,17/12/2017
222,3,8,25,37,40,42,20/12/2017
223,9,13,17,22,26,33,22/12/2017
224,1,5,9,14,30,31,24/12/2017
225,9,13,19,21,27,30,27/12/2017
226,2,8,17,20,29,39,29/12/2017
227,3,13,14,26,30,34,31/12/2017
228,8,14,19,30,33,35,3/1/2018
229,19,30,34,38,42,44,5/1/2018
230,4,6,11,13,24,31,7/1/2018
231,6,18,21,22,37,45,10/1/2018
232,4,8,17,23,27,34,12/1/2018
233,1,6,10,29,32,41,14/01/2018
234,9,10,12,22,27,41,17/01/2018
235,2,4,27,28,31,36,19/01/2018
236,1,10,11,24,32,37,21/01/2018
237,5,6,24,33,42,45,24/01/2018
238,1,9,18,28,36,44,26/01/2018
239,12,26,27,33,36,37,28/01/2018
240,4,7,9,10,30,40,31/01/2018
241,2,7,14,28,42,45,2/2/2018
242,1,5,13,27,40,45,4/2/2018
243,5,7,18,26,30,36,7/2/2018
244,2,10,14,19,23,37,9/2/2018
245,5,19,27,32,41,45,11/2/2018
246,12,31,32,34,35,43,14/02/2018
247,1,5,14,16,36,38,18/02/2018
248,18,23,24,26,29,33,21/02/2018
249,5,16,19,23,29,37,23/02/2018
250,8,10,12,29,30,42,25/02/2018
251,17,19,21,23,36,40,28/02/2018
252,3,7,15,27,41,45,2/3/2018
253,4,11,19,25,32,40,4/3/2018
254,8,19,25,31,37,40,7/3/2018
255,5,10,13,19,25,44,9/3/2018
256,1,14,19,26,41,42,11/3/2018
257,12,21,23,27,31,34,14/03/2018
258,6,8,13,17,20,34,16/03/2018
259,14,21,24,28,31,40,18/03/2018
260,6,19,38,40,41,44,21/03/2018
261,3,6,12,22,26,35,23/03/2018
262,4,10,13,22,38,42,25/03/2018
263,12,18,31,34,35,42,28/03/2018
264,7,11,18,28,34,43,30/03/2018
265,4,12,24,33,39,43,1/4/2018
266,2,3,6,16,41,44,4/4/2018
267,1,7,8,9,36,40,6/4/2018
268,2,5,11,16,30,34,8/4/2018
269,7,20,23,25,26,39,11/4/2018
270,11,22,24,33,38,43,13/04/2018
271,3,9,13,20,30,34,15/04/2018
272,6,16,28,29,39,44,18/04/2018
273,6,9,14,30,33,42,20/04/2018
274,6,7,22,32,36,39,22/04/2018
275,4,15,17,23,29,43,25/04/2018
276,10,20,24,27,28,29,27/04/2018
277,3,10,22,23,25,43,29/04/2018
278,10,11,22,29,37,40,2/5/2018
279,9,18,25,26,27,29,4/5/2018
280,11,26,28,34,36,37,6/5/2018
281,9,15,20,30,31,33,9/5/2018
282,10,11,26,29,33,38,11/5/2018
283,6,11,16,18,27,41,13/05/2018
284,10,21,23,25,35,38,16/05/2018
285,3,18,24,29,30,35,18/05/2018
286,18,19,25,26,29,39,20/05/2018
287,13,16,25,34,37,41,23/05/2018
288,5,14,22,26,29,39,25/05/2018
289,5,9,17,18,19,22,27/05/2018
290,2,17,19,27,31,36,30/05/2018
291,6,14,19,38,43,44,1/6/2018
292,18,20,24,40,42,45,3/6/2018
293,6,20,22,26,43,44,6/6/2018
294,4,13,32,35,40,42,8/6/2018
295,22,25,35,36,38,39,10/6/2018
296,2,4,17,24,31,40,13/06/2018
297,8,11,13,23,24,28,15/06/2018
298,3,5,6,7,34,40,17/06/2018
299,2,18,22,30,32,43,20/06/2018
300,15,19,20,26,34,39,22/06/2018
301,6,8,23,32,33,41,24/06/2018
302,25,27,29,33,37,38,27/06/2018
303,6,18,22,24,36,39,29/06/2018
304,4,7,15,28,34,37,1/7/2018
305,2,3,27,28,34,43,4/7/2018
306,22,26,33,34,38,42,6/7/2018
