Id,N1,N2,N3,N4,N5,N6,Date
660,3,8,11,13,26,38,4/11/2020
661,19,24,30,32,36,37,6/11/2020
662,3,12,14,16,23,33,8/11/2020
663,4,10,12,17,20,35,11/11/2020
664,8,22,23,33,34,36,13/11/2020
665,14,16,21,29,40,41,15/11/2020
666,18,19,21,31,39,44,18/11/2020
667,2,17,24,29,31,37,20/11/2020
668,9,16,17,24,32,40,22/11/2020
669,1,5,7,8,25,40,25/11/2020
670,1,9,12,13,37,43,27/11/2020
671,6,7,14,18,37,43,29/11/2020
672,4,5,7,10,25,39,2/12/2020
673,3,5,33,37,41,43,4/12/2020
674,11,21,24,27,29,37,6/12/2020
675,16,24,27,31,36,43,9/12/2020
676,23,24,25,35,37,39,11/12/2020
677,10,12,20,36,41,44,13/12/2020
678,10,11,22,27,36,41,16/12/2020
679,4,9,14,23,32,38,18/12/2020
680,15,18,28,30,34,44,20/12/2020
681,7,11,17,31,35,40,23/12/2020
682,6,12,15,22,33,39,25/12/2020
683,3,11,17,19,34,39,27/12/2020
684,1,13,20,26,35,37,30/12/2020
685,10,16,24,26,30,32,1/1/2021
686,4,31,34,36,40,43,3/1/2021
687,22,27,30,35,40,45,6/1/2021
688,8,19,22,25,32,35,8/1/2021
689,10,11,22,32,38,43,10/1/2021
690,19,20,21,28,33,41,13/01/2021
691,4,6,10,13,26,43,15/01/2021
692,4,5,32,39,40,42,17/01/2021
693,7,20,29,30,40,45,20/01/2021
694,1,6,7,20,28,43,22/01/2021
695,8,9,23,25,31,32,24/01/2021
696,1,7,11,28,41,44,27/01/2021
697,6,7,8,29,35,39,29/01/2021
698,4,6,7,11,34,41,31/01/2021
699,7,9,14,23,35,41,3/2/2021
700,2,8,31,32,42,44,5/2/2021
701,1,4,7,15,41,42,7/2/2021
702,8,13,18,19,21,24,10/2/2021
703,3,13,18,21,39,44,14/02/2021
704,3,18,21,22,36,44,17/02/2021
705,12,19,22,23,34,44,19/02/2021
706,6,7,22,24,27,37,21/02/2021
707,2,13,19,33,40,43,24/02/2021
708,11,13,19,27,37,41,26/02/2021
709,4,5,25,28,29,42,28/02/2021
710,1,20,28,37,40,44,3/3/2021
711,9,11,13,21,27,41,5/3/2021
712,4,12,25,28,33,45,7/3/2021
713,5,14,15,19,25,33,10/3/2021
714,5,11,17,34,38,42,12/3/2021
715,1,9,11,32,34,42,14/03/2021
716,6,11,26,28,36,41,17/03/2021
717,5,6,24,34,36,37,19/03/2021
718,8,9,11,31,36,39,21/03/2021
719,7,14,23,26,37,39,24/03/2021
720,2,11,15,18,23,42,26/03/2021
721,23,26,40,41,43,44,28/03/2021
722,2,4,6,36,41,42,31/03/2021
723,1,5,9,16,42,44,2/4/2021
724,5,20,27,30,38,43,4/4/2021
725,13,15,19,25,33,34,7/4/2021
726,3,4,8,17,19,37,9/4/2021
727,3,23,27,32,34,39,11/4/2021
728,11,12,16,18,33,35,14/04/2021
729,8,9,11,28,30,39,16/04/2021
730,7,9,15,23,26,27,18/04/2021
731,3,12,19,27,32,35,21/04/2021
732,13,16,18,22,34,39,23/04/2021
733,8,19,21,28,32,44,25/04/2021
734,21,39,40,41,43,45,28/04/2021
735,3,4,20,21,36,41,30/04/2021
736,7,8,30,35,40,44,2/5/2021
737,3,14,20,22,37,44,5/5/2021
738,10,20,21,27,33,34,7/5/2021
739,1,7,16,24,27,37,9/5/2021
740,9,15,22,27,34,42,12/5/2021
741,3,11,16,20,24,30,14/05/2021
742,13,23,33,37,40,43,16/05/2021
743,3,12,23,29,33,34,19/05/2021
744,4,28,37,38,40,42,21/05/2021
745,11,14,22,26,29,44,23/05/2021
746,1,10,22,36,38,45,26/05/2021
747,2,15,33,41,44,45,28/05/2021
748,7,10,19,30,40,45,30/05/2021
749,10,20,22,26,31,42,2/6/2021
750,19,24,31,32,35,36,4/6/2021
751,5,7,10,13,14,42,6/6/2021
752,2,7,18,20,24,36,9/6/2021
753,8,12,13,14,32,40,11/6/2021
754,3,10,12,13,36,44,13/06/2021
755,11,19,24,28,31,39,16/06/2021
756,10,11,28,29,40,42,18/06/2021
757,10,24,27,42,43,45,20/06/2021
758,4,7,20,28,33,41,23/06/2021
759,3,5,6,23,24,39,25/06/2021
760,5,10,29,37,42,44,27/06/2021
761,2,5,6,8,10,32,30/06/2021
762,1,14,15,18,32,45,2/7/2021
763,3,14,15,21,26,37,4/7/2021
764,1,6,13,30,34,43,7/7/2021
765,4,9,17,18,28,32,9/7/2021
766,2,8,15,17,19,30,11/7/2021
767,4,11,22,29,37,43,14/07/2021
768,1,9,18,26,41,45,16/07/2021
769,3,8,19,21,25,36,18/07/2021
770,8,10,12,29,34,37,21/07/2021
771,19,26,31,33,41,42,23/07/2021
772,10,16,19,27,28,36,18/08/2021
773,4,8,17,27,32,36,20/08/2021
774,6,7,18,25,40,43,22/08/2021
775,1,3,5,17,22,33,25/08/2021
776,4,10,11,15,24,37,27/08/2021
777,1,18,21,25,27,35,29/08/2021
778,6,13,33,34,40,45,1/9/2021
779,6,11,18,23,32,44,3/9/2021
780,15,18,25,27,29,34,5/9/2021
781,4,18,28,32,36,40,8/9/2021
782,10,16,22,36,43,44,10/9/2021
783,4,8,21,29,33,45,12/9/2021
784,11,14,17,24,29,35,15/09/2021
785,6,10,15,37,39,44,17/09/2021
786,6,24,28,31,36,43,19/09/2021
787,5,10,19,22,36,45,22/09/2021
788,1,4,7,14,16,41,24/09/2021
789,13,27,34,35,36,41,26/09/2021
790,6,15,16,27,36,42,29/09/2021
791,11,15,17,27,28,45,1/10/2021
792,6,12,28,30,39,42,3/10/2021
793,9,11,15,20,32,36,6/10/2021
794,4,13,18,23,33,43,8/10/2021
795,3,25,26,29,40,42,10/10/2021
796,20,34,37,39,41,42,13/10/2021
797,5,13,17,20,29,45,15/10/2021
798,4,12,21,22,27,40,17/10/2021
799,5,9,33,40,41,45,20/10/2021
800,3,5,6,9,28,43,22/10/2021
801,6,29,31,32,39,44,24/10/2021
802,13,17,26,29,33,39,27/10/2021
803,17,19,22,31,32,34,29/10/2021
804,9,14,17,18,36,41,31/10/2021
805,3,13,15,23,24,44,3/11/2021
806,10,16,36,40,41,42,5/11/2021
807,5,20,24,25,35,36,7/11/2021
808,17,18,19,20,27,44,10/11/2021
809,11,14,18,24,35,37,12/11/2021
810,3,5,18,28,42,43,14/11/2021
811,4,15,25,26,32,35,17/11/2021
812,9,10,26,28,39,43,19/11/2021
813,1,12,29,40,44,45,21/11/2021
814,2,10,18,23,34,36,24/11/2021
815,4,18,25,29,32,34,26/11/2021
816,13,17,26,27,31,37,28/11/2021
817,8,9,30,31,38,45,1/12/2021
818,10,14,29,37,38,40,3/12/2021
819,3,5,6,31,34,35,5/12/2021
820,2,3,16,19,22,34,8/12/2021
821,1,4,17,19,24,42,10/12/2021
822,16,21,29,40,41,43,12/12/2021
823,3,18,29,30,39,41,15/12/2021
824,8,15,16,21,25,33,17/12/2021
825,12,15,24,30,36,45,19/12/2021
826,8,16,17,23,28,38,22/12/2021
827,3,17,25,26,36,38,24/12/2021
828,4,11,16,24,35,44,26/12/2021
829,5,27,33,34,38,40,29/12/2021
830,2,5,12,33,41,45,31/12/2021
831,11,17,30,36,41,45,2/1/2022
832,1,3,8,9,35,40,5/1/2022
833,10,13,24,28,38,44,7/1/2022
834,6,7,11,22,35,41,9/1/2022
835,3,6,13,15,36,44,12/1/2022
836,5,14,27,30,38,45,14/01/2022
837,1,3,4,5,32,33,16/01/2022
838,14,21,25,34,37,39,19/01/2022
839,1,13,17,24,27,42,21/01/2022
840,13,20,24,32,34,40,23/01/2022
841,5,11,15,18,27,43,26/01/2022
842,4,6,12,26,27,39,28/01/2022
843,1,7,22,26,28,41,30/01/2022
844,5,6,14,20,31,38,2/2/2022
845,11,16,18,38,40,43,4/2/2022
846,5,9,21,24,34,39,6/2/2022
847,3,20,27,37,44,45,9/2/2022
848,10,11,19,38,41,44,11/2/2022
849,14,21,22,24,28,45,13/02/2022
850,2,5,8,16,22,42,16/02/2022
851,3,14,20,26,28,36,18/02/2022
852,4,6,16,30,43,44,20/02/2022
853,2,16,18,19,24,29,23/02/2022
854,10,13,30,33,39,41,25/02/2022
855,10,20,25,27,38,45,27/02/2022
856,7,10,13,20,21,34,2/3/2022
857,3,19,21,24,27,38,4/3/2022
858,11,16,21,33,34,42,6/3/2022
859,3,15,35,39,40,43,9/3/2022
860,6,20,23,29,34,45,11/3/2022
861,1,5,19,20,23,38,13/03/2022
862,10,11,14,24,31,45,16/03/2022
863,6,10,15,29,41,42,18/03/2022
864,1,9,10,12,22,44,20/03/2022
865,2,9,37,38,40,43,23/03/2022
866,1,12,13,27,29,35,25/03/2022
867,8,17,21,39,44,45,27/03/2022
868,1,12,26,28,39,45,30/03/2022
869,2,19,25,32,41,44,1/4/2022
870,5,11,20,26,40,43,3/4/2022
871,13,17,19,25,32,45,6/4/2022
872,2,13,16,19,20,36,8/4/2022
873,4,17,28,30,38,42,10/4/2022
874,1,7,20,25,40,41,13/04/2022
875,9,18,21,25,35,44,15/04/2022
876,5,13,15,28,38,40,17/04/2022
877,1,8,17,21,27,37,20/04/2022
878,11,13,15,18,24,36,22/04/2022
879,9,12,23,30,32,40,24/04/2022
880,3,9,14,17,27,32,27/04/2022
881,5,12,16,25,26,32,29/04/2022
882,8,21,26,35,37,42,1/5/2022
883,1,4,23,28,33,38,4/5/2022
884,1,3,15,16,34,43,6/5/2022
885,4,12,20,25,35,37,8/5/2022
886,2,6,7,18,34,41,11/5/2022
887,7,8,18,29,41,44,13/05/2022
888,5,20,21,31,34,37,15/05/2022
889,3,17,23,37,40,42,18/05/2022
890,12,17,34,39,44,45,20/05/2022
891,1,7,10,24,33,40,22/05/2022
892,19,26,27,39,44,45,25/05/2022
893,16,21,23,27,35,41,27/05/2022
894,2,6,19,24,30,42,29/05/2022
895,6,10,21,23,28,39,1/6/2022
896,5,8,34,38,39,41,3/6/2022
897,6,8,21,28,30,35,5/6/2022
898,2,10,13,15,22,36,8/6/2022
899,10,23,25,26,30,41,10/6/2022
900,6,14,19,22,40,42,12/6/2022
901,1,6,12,20,36,39,15/06/2022
902,5,8,26,29,35,44,17/06/2022
903,1,24,25,31,39,40,19/06/2022
904,3,20,23,30,33,35,22/06/2022
905,7,16,18,32,34,44,24/06/2022
906,3,7,8,18,27,36,26/06/2022
907,1,19,20,27,30,32,29/06/2022
908,17,26,30,31,33,39,1/7/2022
909,8,14,17,20,21,40,3/7/2022
910,4,12,14,15,41,42,6/7/2022
911,6,7,12,18,21,43,8/7/2022
912,12,23,29,36,37,41,10/7/2022
913,4,9,21,28,35,37,13/07/2022
914,4,30,35,39,42,43,15/07/2022
915,7,13,20,23,27,29,17/07/2022
916,5,6,20,22,26,39,20/07/2022
917,4,10,18,22,31,37,22/07/2022
918,4,11,17,29,30,44,24/07/2022
919,9,15,18,22,32,41,27/07/2022
920,5,7,11,20,31,37,29/07/2022
921,3,8,15,16,40,42,31/07/2022
922,5,14,30,36,38,42,3/8/2022
923,10,13,14,32,37,42,5/8/2022
924,6,9,10,13,24,27,7/8/2022
925,4,8,10,15,26,31,10/8/2022
926,5,7,16,20,36,41,12/8/2022
927,9,13,21,24,34,35,14/08/2022
928,23,29,35,37,39,45,17/08/2022
929,25,26,33,39,41,43,19/08/2022
930,5,19,21,23,28,36,21/08/2022
931,12,20,21,23,27,34,24/08/2022
932,3,30,31,32,36,45,26/08/2022
933,8,16,31,37,39,41,28/08/2022
934,4,10,28,29,31,34,31/08/2022
935,2,3,14,21,31,33,2/9/2022
936,5,17,19,27,35,39,4/9/2022
937,8,9,10,20,35,38,7/9/2022
938,4,6,13,14,28,39,9/9/2022
939,4,15,20,31,43,44,11/9/2022
940,3,12,15,20,24,45,14/09/2022
941,2,26,35,41,42,43,16/09/2022
942,3,5,10,17,25,29,18/09/2022
943,5,10,14,25,42,45,21/09/2022
944,1,12,21,28,30,44,23/09/2022
945,3,5,8,31,33,34,25/09/2022
946,4,5,7,24,27,30,28/09/2022
947,4,11,19,20,35,41,30/09/2022
948,3,17,28,30,31,32,2/10/2022
949,9,18,23,24,29,34,5/10/2022
950,18,20,29,34,36,38,7/10/2022
951,13,15,20,25,35,43,9/10/2022
952,1,7,13,16,27,35,12/10/2022
953,1,6,22,25,30,34,14/10/2022
954,2,5,19,26,38,40,16/10/2022
955,1,3,7,10,21,29,19/10/2022
956,10,16,17,18,34,42,21/10/2022
957,2,11,18,33,36,45,23/10/2022
958,2,3,10,15,31,36,26/10/2022
959,16,21,22,33,42,45,28/10/2022
960,15,27,31,36,38,41,30/10/2022
961,2,17,23,27,37,42,2/11/2022
962,9,13,16,24,33,45,4/11/2022
963,8,10,12,14,17,31,6/11/2022
964,7,9,16,20,30,32,9/11/2022
965,2,3,9,15,17,43,11/11/2022
966,3,4,27,32,40,43,13/11/2022
967,2,3,12,32,35,44,16/11/2022
968,15,16,22,25,29,33,18/11/2022
969,1,4,14,22,24,40,20/11/2022
970,4,13,15,20,37,38,23/11/2022
971,14,20,24,30,35,41,25/11/2022
972,1,26,27,35,36,43,27/11/2022
973,7,15,20,25,32,37,30/11/2022
974,2,18,21,24,38,44,2/12/2022
975,4,5,7,9,27,39,4/12/2022
976,8,11,19,24,26,42,7/12/2022
977,4,23,25,30,40,41,9/12/2022
978,9,11,16,17,22,33,11/12/2022
979,13,29,35,37,38,41,14/12/2022
980,6,19,22,26,38,39,16/12/2022
981,2,12,13,33,36,42,18/12/2022
982,8,12,20,26,35,37,21/12/2022
983,2,14,21,22,35,43,23/12/2022
984,15,17,21,28,37,43,25/12/2022
985,4,5,10,21,33,37,28/12/2022
986,3,24,31,35,39,42,30/12/2022
987,16,20,26,30,32,40,1/1/2023
988,3,5,7,37,39,42,4/1/2023
989,2,7,16,25,35,38,6/1/2023
990,11,29,32,39,40,43,8/1/2023
991,1,18,22,33,34,43,11/1/2023
992,3,11,14,20,26,42,13/01/2023
993,8,9,15,21,26,45,15/01/2023
994,3,7,13,29,32,44,20/01/2023
995,12,14,18,22,28,31,25/01/2023
996,10,13,21,29,41,43,27/01/2023
997,5,21,26,27,32,33,29/01/2023
998,16,21,27,29,34,44,1/2/2023
999,4,11,16,30,33,43,3/2/2023
1000,13,15,23,29,31,34,5/2/2023
1001,6,18,20,22,26,34,8/2/2023
1002,1,11,23,27,33,39,10/2/2023
1003,3,5,11,23,24,42,12/2/2023
1004,1,2,8,20,24,31,15/02/2023
1005,1,5,10,13,23,25,17/02/2023
1006,2,20,22,28,29,38,19/02/2023
1007,8,16,22,23,28,38,22/02/2023
1008,1,10,16,22,35,44,24/02/2023
1009,4,9,16,26,28,42,26/02/2023
1010,13,14,29,33,38,43,1/3/2023
1011,10,22,26,27,33,43,3/3/2023
1012,9,11,24,31,36,44,5/3/2023
1013,10,13,22,25,28,36,8/3/2023
1014,3,5,13,22,36,44,10/3/2023
1015,10,28,29,31,33,37,12/3/2023
1016,11,19,23,28,34,35,15/03/2023
1017,5,7,12,22,26,33,17/03/2023
1018,2,7,10,21,28,35,19/03/2023
1019,5,8,10,15,17,41,22/03/2023
1020,6,14,15,18,24,41,24/03/2023
1021,6,16,18,25,34,45,26/03/2023
1022,3,6,12,28,29,43,29/03/2023
1023,1,9,10,15,30,42,31/03/2023
1024,2,24,36,38,42,43,2/4/2023
1025,4,8,12,15,19,43,5/4/2023
1026,9,14,22,29,39,41,7/4/2023
1027,12,15,25,30,34,39,9/4/2023
1028,4,7,27,28,32,43,12/4/2023
1029,8,16,23,27,32,41,14/04/2023
1030,8,17,20,25,33,36,16/04/2023
1031,10,27,37,40,42,43,19/04/2023
1032,2,4,7,10,20,44,21/04/2023
1033,1,2,22,30,37,42,23/04/2023
1034,1,4,7,9,34,37,26/04/2023
1035,5,11,25,33,42,44,28/04/2023
1036,7,9,23,24,33,36,30/04/2023
1037,18,23,28,29,39,44,3/5/2023
1038,22,28,31,35,36,38,5/5/2023
1039,4,30,31,33,35,45,7/5/2023
1040,7,8,9,13,15,27,10/5/2023
1041,2,6,8,9,15,27,12/5/2023
1042,7,8,13,37,42,44,14/05/2023
1043,2,6,13,20,28,44,17/05/2023
1044,3,9,10,27,35,38,19/05/2023
1045,8,10,17,19,24,41,21/05/2023
1046,9,11,15,28,33,44,24/05/2023
1047,8,10,19,25,35,44,26/05/2023
1048,6,13,19,20,37,44,28/05/2023
1049,4,9,10,22,41,44,31/05/2023
1050,3,11,14,19,21,43,2/6/2023
1051,3,15,19,35,36,43,4/6/2023
1052,1,7,14,16,34,44,7/6/2023
1053,15,16,23,25,40,41,9/6/2023
1054,5,18,22,40,41,44,11/6/2023
1055,2,28,31,37,41,44,14/06/2023
1056,24,26,32,37,38,41,16/06/2023
1057,3,4,8,18,21,33,18/06/2023
1058,7,13,19,35,37,38,21/06/2023
1059,10,14,15,20,24,45,23/06/2023
1060,4,6,7,25,26,30,25/06/2023
1061,4,8,24,31,42,45,28/06/2023
1062,2,5,20,23,31,38,30/06/2023
1063,3,5,8,17,37,41,2/7/2023
1064,1,12,24,27,36,44,5/7/2023
1065,5,9,12,20,37,42,7/7/2023
1066,14,16,27,28,33,41,9/7/2023
1067,19,24,27,31,33,43,12/7/2023
1068,4,5,13,19,27,37,14/07/2023
1069,1,7,16,18,21,29,16/07/2023
1070,6,10,19,37,43,45,19/07/2023
1071,9,20,31,33,36,45,21/07/2023
1072,14,17,23,32,33,43,23/07/2023
1073,4,13,18,21,29,37,26/07/2023
1074,7,27,28,30,31,35,28/07/2023
1075,3,17,23,33,42,45,30/07/2023
1076,4,21,27,38,39,44,2/8/2023
1077,2,12,22,38,41,44,4/8/2023
1078,4,15,19,25,30,38,6/8/2023
1079,18,22,30,31,39,41,9/8/2023
1080,16,21,26,29,30,45,11/8/2023
1081,9,15,23,33,35,40,13/08/2023
1082,5,7,25,31,39,41,16/08/2023
1083,12,19,21,22,34,38,18/08/2023
1084,7,8,22,23,30,42,20/08/2023
1085,5,14,18,19,29,31,23/08/2023
1086,8,18,30,32,38,45,25/08/2023
1087,24,27,30,37,44,45,27/08/2023
1088,13,17,20,28,30,33,30/08/2023
1089,9,14,16,19,28,41,1/9/2023
1090,1,33,38,39,44,45,3/9/2023
1091,3,4,12,18,19,29,6/9/2023
1092,6,8,14,29,39,42,8/9/2023
1093,4,5,10,18,27,40,10/9/2023
1094,2,4,7,9,12,13,13/09/2023
1095,2,3,5,7,10,38,15/09/2023
1096,6,10,15,36,39,43,17/09/2023
